razon_social_publicada,tipo_aparente,programa_publicado,programa_interno_csv,archivo_csv,anio,mes,fecha_otorgamiento,fecha_acto,numero_acto,monto_maximo_programa_clp,tipo_financiamiento
EMBALAJES INDUSTRIALES ARAYA LTDA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
EMPRESA COMERCIAL MARIO DIAZ E.I.R.L.,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,27-08-2025,27-08-2025,CER-D09-015196,5000000.0,subsidio directo
EMPRESA COMERCIAL MARIO DIAZ E.I.R.L.,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,27-08-2025,27-08-2025,CER-D09-015195,1200000.0,subsidio directo
EN BARRA SPA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
EN BARRA SPA,empresa/razon social con forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
FARMACIA CENTRO LIMITADA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,20-10-2025,20-10-2025,CER-D14-015315,9000000.0,subsidio directo
FARMACIA CENTRO LIMITADA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,27-08-2025,27-08-2025,CER-D14-015186,1200000.0,subsidio directo
FARMACIA CENTRO LIMITADA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,noviembre,27-11-2025,27-11-2025,CER-D14-015430,1200000.0,subsidio directo
GELATO HOUSE SPA,empresa/razon social con forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,18-08-2025,18-08-2025,CER-D13-015156,5000000.0,subsidio directo
GELATO HOUSE SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,septiembre,12-09-2025,12-09-2025,CER-D13-015239,1200000.0,subsidio directo
